title,department
ADM 4346 Auditing in a digital environment (3 units),https://catalogue.uottawa.ca/en/courses/adm/
ADM 4348 Special Topics in Financial Accounting (3 units),https://catalogue.uottawa.ca/en/courses/adm/
ADM 4349 Advanced Accounting (3 units),https://catalogue.uottawa.ca/en/courses/adm/
ADM 4350 Equity Valuation (3 units),https://catalogue.uottawa.ca/en/courses/adm/
ADM 4351 Options and Futures (3 units),https://catalogue.uottawa.ca/en/courses/adm/
ADM 4352 Advanced Corporate Finance (3 units),https://catalogue.uottawa.ca/en/courses/adm/
ADM 4354 International Financial Management (3 units),https://catalogue.uottawa.ca/en/courses/adm/
"ADM 4355 Finance, Ethics and Social Responsibility (3 units)",https://catalogue.uottawa.ca/en/courses/adm/
ADM 4356 Alternative Investments and Risk Management (3 units),https://catalogue.uottawa.ca/en/courses/adm/
ADM 4357 Applied Investment Fund Management Module II (3 units),https://catalogue.uottawa.ca/en/courses/adm/
ADM 4358 Mergers and Acquisitions (3 units),https://catalogue.uottawa.ca/en/courses/adm/
ADM 4363 Business Optimization Analytics (3 units),https://catalogue.uottawa.ca/en/courses/adm/
ADM 4377 Digital Enterprise Systems and Strategies (3 units),https://catalogue.uottawa.ca/en/courses/adm/
ADM 4378 Business Communications Networks (3 units),https://catalogue.uottawa.ca/en/courses/adm/
ADM 4379 Management and Implementation of Web Technologies in Organizations (3 units),https://catalogue.uottawa.ca/en/courses/adm/
ADM 4396 Seminar in Administration (3 units),https://catalogue.uottawa.ca/en/courses/adm/
ADM 4503 Gestion de projets (3 crédits),https://catalogue.uottawa.ca/en/courses/adm/
ADM 4513 Conseiller les entreprises familiales (3 crédits),https://catalogue.uottawa.ca/en/courses/adm/
ADM 4707 Analytique des prévisions en gestion (3 crédits),https://catalogue.uottawa.ca/en/courses/adm/
ADM 4710 Gestion des entreprises scientifiques et technologiques (3 crédits),https://catalogue.uottawa.ca/en/courses/adm/
ADM 4711 Management stratégique (3 crédits),https://catalogue.uottawa.ca/en/courses/adm/
ADM 4712 Gérer dans la nouvelle économie (3 crédits),https://catalogue.uottawa.ca/en/courses/adm/
ADM 4715 Entrepreneuriat stratégique (3 crédits),https://catalogue.uottawa.ca/en/courses/adm/
ADM 4716 La gestion de l'innovation (3 crédits),https://catalogue.uottawa.ca/en/courses/adm/
"ADM 4717 Leadership, stratégie et durabilité (3 crédits)",https://catalogue.uottawa.ca/en/courses/adm/
ADM 4718 Politiques des firmes multinationales (3 crédits),https://catalogue.uottawa.ca/en/courses/adm/
ADM 4719 Gestion stratégique dans les économies en développement et émergence (3 crédits),https://catalogue.uottawa.ca/en/courses/adm/
ADM 4722 Stratégie du marketing (3 crédits),https://catalogue.uottawa.ca/en/courses/adm/
ADM 4725 Projet de planification promotionnelle (3 crédits),https://catalogue.uottawa.ca/en/courses/adm/
ADM 4726 Marketing et technologies numériques (3 crédits),https://catalogue.uottawa.ca/en/courses/adm/
ADM 4728 Marketing international (3 crédits),https://catalogue.uottawa.ca/en/courses/adm/
ADM 4729 Ventes et relations d'affaires (3 crédits),https://catalogue.uottawa.ca/en/courses/adm/
ADM 4736 Santé et sécurité au travail (3 crédits),https://catalogue.uottawa.ca/en/courses/adm/
ADM 4737 Changement et développement des organisations (3 crédits),https://catalogue.uottawa.ca/en/courses/adm/
ADM 4738 Formation et développement internationaux pour la durabilité (3 crédits),https://catalogue.uottawa.ca/en/courses/adm/
ADM 4739 Planification stratégique des ressources humaines (3 crédits),https://catalogue.uottawa.ca/en/courses/adm/
ADM 4740 Études de cas en comptabilité (3 crédits),https://catalogue.uottawa.ca/en/courses/adm/
ADM 4741 Vérification avancée (3 crédits),https://catalogue.uottawa.ca/en/courses/adm/
ADM 4742 Séminaire en théorie comptable (3 crédits),https://catalogue.uottawa.ca/en/courses/adm/
ADM 4743 Analyse des données en comptabilité (3 crédits),https://catalogue.uottawa.ca/en/courses/adm/
ADM 4744 Fiscalité II (3 crédits),https://catalogue.uottawa.ca/en/courses/adm/
ADM 4745 Systèmes de contrôle de gestion (3 crédits),https://catalogue.uottawa.ca/en/courses/adm/
ADM 4746 L’audit dans un environnement numérique (3 crédits),https://catalogue.uottawa.ca/en/courses/adm/
ADM 4748 Sujets spécialisés en comptabilité financière (3 crédits),https://catalogue.uottawa.ca/en/courses/adm/
ADM 4749 Comptabilité spécialisée (3 crédits),https://catalogue.uottawa.ca/en/courses/adm/
ADM 4750 Évaluation d'entreprises (3 crédits),https://catalogue.uottawa.ca/en/courses/adm/
ADM 4751 Options et contrats à terme (3 crédits),https://catalogue.uottawa.ca/en/courses/adm/
